title,address,categories_details,phone,website,email,category,destination
PIZZA RUSWIL,"Hellbühlerstrasse 38, 6017 Ruswil",Pizza Take Away • Home delivery service • Pizzeria,tel:+41414952800,,,pizzeria,lucerne (canton)
Restaurant Protos,"Luzernstrasse 66, 6208 Oberkirch LU",Pizzeria,tel:+41419221181,,,pizzeria,lucerne (canton)
Schweizerheim,"Luzernstrasse 2, 6210 Sursee",Pizzeria,tel:+41419211261,,,pizzeria,lucerne (canton)
Väster GmbH,"Dorfstrasse 13, 6264 Pfaffnau",Restaurant • Pizzeria,tel:+41627541533,,,pizzeria,lucerne (canton)
Dazan pizza,"Zürichstrasse 85, 6004 Luzern",Pizzeria • Kebab Döner • Takeout,tel:+41415340264,,,pizzeria,lucerne (canton)
Gimi's Pizza und Panini,"Baselstrasse 76, 6003 Luzern",Pizzeria,tel:+41412406811,,,pizzeria,lucerne (canton)
Don Carlos Restaurant Pizzeria,"Ruopigenplatz 14, 6015 Luzern",Restaurant • Wine store,tel:+41412506622,http://www.doncarlosrestaurant.ch,,pizzeria,lucerne (canton)
Restaurant Pizzeria Schlüssel,"Lindenstrasse 42, 6015 Luzern",Restaurant,tel:+41412402610,,,pizzeria,lucerne (canton)
Ristorante Pizzeria Weisses Kreuz,"Furrengasse 19, 6004 Luzern",Italian cuisine • Restaurants according to speciality,tel:+41414188220,,,pizzeria,lucerne (canton)
Pizzeria La Baracca,"Theaterstrasse 7, 6003 Luzern",Restaurant,tel:+41413101212,,,pizzeria,lucerne (canton)
Pizzeria Valle Rossa,"Hauptplatz 7, 6017 Ruswil",,tel:+41414951125,,info@roessli-ruswil.ch,pizzeria,lucerne (canton)
Ristorante Pizzeria da Vinci,"Oberdierikonerstrasse 3, 6030 Ebikon",,tel:+41414404091,,glorioso@hispeed.ch,pizzeria,lucerne (canton)
Pizzeria Känguru,"Flecken 9, 6023 Rothenburg",,tel:+41412823131,,,pizzeria,lucerne (canton)
Ristorante Pizzeria Modomio,"St.-Karli-Quai 9, 6004 Luzern",Restaurant,tel:+41414107777,,modomio2008@yahoo.com,pizzeria,lucerne (canton)
Sammoos's Pizzeria & Cafe,"Luzernerstrasse 5, 6294 Ermensee",Pizza delivery,tel:+41415354051,,,pizzeria,lucerne (canton)
Kuonimatt Steakhouse & Pizzeria,"Industriestrasse 9, 6010 Kriens",,tel:+41413404760,,,pizzeria,lucerne (canton)
"Pizzeria, Restaurant Friedau","Dorfstrasse 33, 6260 Reidermoos",,tel:+41795070723,,,pizzeria,lucerne (canton)
Restaurant Pizzeria Kreuz,"Dorfstrasse 2, 6264 Pfaffnau",,tel:+41627540158,,,pizzeria,lucerne (canton)
Restaurant & Pizzeria Lux,"Neuenkirchstrasse 3, 6020 Emmenbrücke",,tel:+41412806373,,,pizzeria,lucerne (canton)
Restaurant-Pizzeria Meienrisli,"Baselstrasse 95, 6003 Luzern",,tel:+41414102504,,,pizzeria,lucerne (canton)
Restaurant Pizzeria Stromboli,"Chäppelimatt 7, 6232 Geuensee",,tel:+41419218001,,,pizzeria,lucerne (canton)
Restaurant Pizzeria Terrasse,"Spitalstrasse 23, 6110 Wolhusen",,tel:+41414904861,,,pizzeria,lucerne (canton)
Türmli Restaurant & Pizzeria,"Stadtstrasse 47, 6204 Sempach",,tel:+41414602288,,,pizzeria,lucerne (canton)
Casa Mia Pizzeria,"Obgardirain 3, 6043 Adligenswil",,tel:+41413707272,,,pizzeria,lucerne (canton)
Krienser Pizzeria,"Fenkernstrasse 2, 6010 Kriens",,tel:+41413201934,,,pizzeria,lucerne (canton)
Pizzeria Ciao,"Dorfstrasse 2, 6005 Luzern",,tel:+41413703938,,,pizzeria,lucerne (canton)
Pizzeria da Giamma,"Bahnhofstrasse 42, 6037 Root",,tel:+41414505051,,,pizzeria,lucerne (canton)
Pizzeria da Giorgio,"Hauptstrasse 15, 6045 Meggen",,tel:+41767984283,,,pizzeria,lucerne (canton)
Pizzeria da Milo,"Bruchstrasse 68, 6003 Luzern",,tel:+41412406765,,pizzeriadamilo@gmx.net,pizzeria,lucerne (canton)
Pizzeria La Vita,"Flecken 3, 6023 Rothenburg",,tel:+41415588110,,,pizzeria,lucerne (canton)
Pizzeria Panorama,"Rüeggisingerstrasse 27, 6032 Emmen",,,,,pizzeria,lucerne (canton)
Restaurant Pizzeria Gasshof,"Renggstrasse 10, 6014 Luzern",,tel:+41415348658,,,pizzeria,lucerne (canton)
Restaurant- Pizzeria Venezia,"Rankstrasse 1, 6294 Ermensee",,tel:+41625587377,,veneziaermensee@gmail.com,pizzeria,lucerne (canton)
Ristorante Pizzeria Bahnhof,"Bahnhofstrasse 10, 6244 Nebikon",,tel:+41627561041,,,pizzeria,lucerne (canton)
Treffpunkt Mittelmeer Pizzeria,"Münsterstrasse 2, 6210 Sursee",,tel:+41419218080,,,pizzeria,lucerne (canton)
Bar Pizzeria Oskar Restaurant,"Neustadtstrasse 27, 6003 Luzern",,tel:+41412100804,,,pizzeria,lucerne (canton)
Panorama,"Rüeggisingerstrasse 27, 6020 Emmenbrücke",Restaurant,tel:+41412606640,,,pizzeria,lucerne (canton)
SeeHotel Gotthard,"Gotthardstrasse 11, 6353 Weggis",Hotel,tel:+41413902114,,gotthard@gotthard-weggis.ch,pizzeria,lucerne (canton)
Restaurant Hofmatt,"Hofmattweg 6, 6010 Kriens",Restaurant,tel:+41413203434,,,pizzeria,lucerne (canton)
Linde,"Metzgerrainle 3, 6004 Luzern",Hotel,tel:+41414103193,,,pizzeria,lucerne (canton)
Prizzi Restaurant,"Tribschenstrasse 18, 6005 Luzern",,tel:+41413620100,,,pizzeria,lucerne (canton)
Valentino-La Capella,"Metzgerrainle 3, 6004 Luzern",Restaurant,tel:+41414103193,,,pizzeria,lucerne (canton)
Stancanelli Giuseppe,"Kleinwangenstrasse 14, 6280 Hochdorf",,tel:+41415304057,,,pizzeria,lucerne (canton)
